archive-template,arj,zip,rar,gz,gz2,xz,7z,zst,bz2,tar,zip
iso-template,iso,,,,,,,,,,
image-template,bmp,jpeg,jpg,png,gif,tiff,svg,webdm,ico,,
help-template,hlp,,,,,,,,,,
chm-template,chm,,,,,,,,,,
music-template,mp3,wav,ogg,flac,,,,,,,
movie-template,flv,mp4,avi,3gp,wmv,webm,mpeg,divx,mkv,flv,
deb-template,deb,,,,,,,,,,
rpm-template,rpm,,,,,,,,,,
patch-template,patch,,,,,,,,,,
pdf-template,pdf,,,,,,,,,,
word-template,doc,docx,odt,,,,,,,,
excel-template,xls,xlsx,ods,,,,,,,,
powerpoint-template,ppt,pptx,odp,,,,,,,,
c-template,c,,,,,,,,,,
cpp-template,cpp,,,,,,,,,,
header-template,h,,,,,,,,,,
log-template,log,,,,,,,,,,
html-template,html,htm,,,,,,,,,
css-template,css,,,,,,,,,,
php-template,php,,,,,,,,,,
pro-template,pro,,,,,,,,,,
make-template,Makefile,make,,,,,,,,,
font-template,ttf,otf,fon,pfa,pfb,pfr,fnt,,,,
svg-template,svg,,,,,,,,,,
script-template,sh,py,rb,vbs,ps1,,,,,,
cmd-template,bat,cmd,,,,,,,,,
document-template,rtf,dot,csv,xml,,,,,,,
conf-template,conf,ini,asc,,,,,,,,
cmake-template,CMakeList.txt,,,,,,,,,,
execute-template,exe,,,,,,,,,,
